area_id,house_address,floor_count,heating_house_type,heating_value,area_residential,population
area_2,"ул. Пушкина, д. 32",6,c,933.27,1254.6,105
area_4,"ул. Пушкина, д. 48",10,A++,697.9,4645.24,332
area_2,"ул. Советская, д. 56",11,A+,801.19,927.1,24
area_3,"ул. Кирова, д. 60",12,e,224.61,3445.64,267
area_1,"ул. Пушкина, д. 41",5,b,684.04,2009.54,120
area_4,"ул. Кирова, д. 40",2,C,319.26,301.03,429
area_1,"ул. Советская, д. 41",2,A,619.98,1825.56,314
area_1,"ул. Советская, д. 34",12,G,752.18,1814.2,243
area_4,"ул. Пушкина, д. 11",3,a+,757.56,4185.54,351
area_3,"ул. Гагарина, д. 69",1,A,822.7,2805.48,226
area_4,"ул. Пушкина, д. 66",6,b,313.87,2712.07,251
area_4,"ул. Советская, д. 63",11,g,651.33,4559.92,16
area_1,"ул. Пушкина, д. 15",19,a+,428.5,3984.02,250
area_5,"ул. Кирова, д. 85",9,E,562.46,4765.78,130
area_5,"ул. Кирова, д. 85",3,a+,484.08,1328.98,44
area_1,"ул. Пушкина, д. 33",13,E,206.64,282.25,144
area_2,"ул. Ленина, д. 36",6,C,105.12,4175.15,59
area_1,"ул. Пушкина, д. 70",14,B,198.85,316.73,57
area_2,"ул. Гагарина, д. 69",8,a++,768.62,3686.59,235
area_4,"ул. Пушкина, д. 97",7,C,915.03,1611.26,337
area_2,"ул. Пушкина, д. 63",7,C,551.39,2689.98,497
area_3,"ул. Ленина, д. 43",20,b,342.61,1115.75,200
area_1,"ул. Ленина, д. 2",9,b,80.83,1898.92,488
area_2,"ул. Ленина, д. 39",14,e,691.24,3288.34,485
area_5,"ул. Кирова, д. 84",13,A+,482.29,1361.73,237
area_3,"ул. Пушкина, д. 31",18,a,395.45,3186.51,380
area_4,"ул. Советская, д. 85",19,a++,117.48,572.35,425
area_3,"ул. Советская, д. 93",3,a,927.41,3525.48,73
area_2,"ул. Пушкина, д. 81",14,G,229.61,796.87,63
area_3,"ул. Пушкина, д. 87",17,F,58.16,1828.84,480
area_1,"ул. Ленина, д. 40",10,e,329.05,4121.55,241
area_3,"ул. Гагарина, д. 84",13,g,48.84,2140.69,385
area_2,"ул. Советская, д. 36",20,E,576.46,3064.19,11
area_2,"ул. Гагарина, д. 60",8,d,104.11,1697.54,486
area_5,"ул. Кирова, д. 40",5,d,273.86,1629.77,95
area_1,"ул. Советская, д. 96",10,F,451.42,3506.17,5
area_5,"ул. Кирова, д. 85",11,A+,190.12,4496.12,101
area_3,"ул. Гагарина, д. 51",2,A+,440.18,908.87,419
area_2,"ул. Ленина, д. 44",12,C,540.62,4867.3,278
area_4,"ул. Ленина, д. 64",12,G,657.95,604.64,126
area_3,"ул. Гагарина, д. 39",5,f,509.72,4816.75,337
area_5,"ул. Советская, д. 19",17,a+,397.25,1543.11,88
area_1,"ул. Кирова, д. 77",11,G,229.79,3998.66,456
area_5,"ул. Пушкина, д. 29",16,A++,805.37,3053.98,204
area_4,"ул. Советская, д. 53",10,A,511.41,1463.88,460
area_3,"ул. Кирова, д. 74",2,C,264.26,938.3,350
area_3,"ул. Кирова, д. 26",16,B,547.08,3725.78,16
area_5,"ул. Советская, д. 27",11,b,826.58,3434.17,276
area_4,"ул. Пушкина, д. 9",14,d,239.59,1413.64,287
area_5,"ул. Советская, д. 77",9,a+,944.15,1619.46,59
area_5,"ул. Пушкина, д. 73",2,c,707.09,4670.21,166
area_5,"ул. Кирова, д. 77",14,c,698.37,4873.05,36
area_5,"ул. Гагарина, д. 76",18,c,376.1,4533.1,392
